Dates,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,PX_CLOSE_1D
11/15/1982,0.1412,0.1445,0.1462,0.1395,124588800,0.1445
11/16/1982,0.1339,0.1395,0.1401,0.1334,182022400,0.1412
11/17/1982,0.1401,0.1345,0.1406,0.1339,144144000,0.1339
11/18/1982,0.1401,0.1406,0.1423,0.1395,152678400,0.1401
11/19/1982,0.1378,0.1406,0.1412,0.1373,97305600,0.1401
11/22/1982,0.13,0.1378,0.1378,0.1283,101248000,0.1378
11/23/1982,0.1289,0.1289,0.1328,0.1272,88502400,0.13
11/24/1982,0.1317,0.1283,0.1362,0.1283,73740800,0.1289
11/26/1982,0.1295,0.1317,0.1334,0.1267,101987200,0.1317
11/29/1982,0.1289,0.1295,0.1311,0.125,49952000,0.1295
11/30/1982,0.1423,0.1289,0.1429,0.1283,159196800,0.1289
12/1/1982,0.1451,0.1451,0.1479,0.1423,206841600,0.1423
12/2/1982,0.1451,0.1451,0.1473,0.1429,164729600,0.1451
12/3/1982,0.1417,0.1429,0.1434,0.1401,47577600,0.1451
12/6/1982,0.1496,0.1423,0.1507,0.1406,146585600,0.1417
12/7/1982,0.1512,0.1501,0.1546,0.1484,167283200,0.1496
12/8/1982,0.1479,0.1518,0.1557,0.1473,112313600,0.1512
12/9/1982,0.1406,0.1429,0.1456,0.1384,194656000,0.1479
12/10/1982,0.1306,0.1378,0.1384,0.1289,167484800,0.1406
12/13/1982,0.1278,0.1295,0.1295,0.1278,95379200,0.1306
12/14/1982,0.1267,0.13,0.1356,0.125,270054400,0.1278
12/15/1982,0.1261,0.125,0.1272,0.1233,130793600,0.1267
12/16/1982,0.1283,0.1256,0.1306,0.125,141164800,0.1261
12/17/1982,0.1345,0.1278,0.1356,0.1278,80729600,0.1283
12/20/1982,0.1339,0.1339,0.135,0.1328,69776000,0.1345
12/21/1982,0.135,0.1328,0.135,0.1317,79945600,0.1339
12/22/1982,0.139,0.1367,0.139,0.1356,101225600,0.135
12/23/1982,0.1429,0.1384,0.1429,0.1378,86979200,0.139
12/27/1982,0.1462,0.1417,0.1468,0.1417,61868800,0.1429
12/28/1982,0.1451,0.1473,0.1507,0.1434,113366400,0.1462
12/29/1982,0.1401,0.1451,0.1456,0.1384,80707200,0.1451
12/30/1982,0.1339,0.1401,0.1417,0.1323,156867200,0.1401
12/31/1982,0.1334,0.1339,0.1356,0.1334,49660800,0.1339
1/3/1983,0.1272,0.1339,0.135,0.1261,112828800,0.1334
1/4/1983,0.1345,0.125,0.135,0.125,223708800,0.1272
1/5/1983,0.135,0.1345,0.1362,0.1323,141545600,0.1345
1/6/1983,0.13,0.1356,0.1356,0.1295,97798400,0.135
1/7/1983,0.1228,0.1306,0.1317,0.1228,172054400,0.13
1/10/1983,0.1283,0.1228,0.1295,0.1217,275340800,0.1228
1/11/1983,0.1317,0.1289,0.1317,0.1272,163027200,0.1283
1/12/1983,0.1373,0.1328,0.1406,0.1317,176982400,0.1317
1/13/1983,0.1373,0.1367,0.1384,0.135,82275200,0.1373
1/14/1983,0.1473,0.1395,0.1473,0.1378,184643200,0.1373
1/17/1983,0.1523,0.1479,0.1546,0.1462,234864000,0.1473
1/18/1983,0.149,0.154,0.1557,0.1451,219788800,0.1523
1/19/1983,0.1501,0.1496,0.1518,0.1484,169657600,0.149
1/20/1983,0.1669,0.1518,0.1669,0.1501,707840000,0.1501
