Dates,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,PX_CLOSE_1D
7/28/1980,7.125,7.0625,7.125,7.0469,572800,#N/A N/A
7/29/1980,7.2031,7.1719,7.2188,7.1406,400000,7.125
7/30/1980,7.2656,7.3125,7.3438,7.2656,359200,7.2031
7/31/1980,7.375,7.2344,7.375,7.2344,478400,7.2656
8/1/1980,7.2344,7.3125,7.3125,7.2344,1004800,7.375
8/4/1980,7.2813,7.2031,7.2813,7.125,324800,7.2344
8/5/1980,7.2656,7.3125,7.3125,7.25,298400,7.2813
8/6/1980,7.2031,7.2656,7.2656,7.1875,632800,7.2656
8/7/1980,7.2344,7.2344,7.2344,7.1719,488000,7.2031
8/8/1980,7.2188,7.25,7.2656,7.2031,468000,7.2344
8/11/1980,7.2344,7.25,7.2656,7.2188,589600,7.2188
8/12/1980,7.1719,7.25,7.2656,7.1719,590400,7.2344
8/13/1980,7.1563,7.1563,7.2188,7.1406,444000,7.1719
8/14/1980,7.3125,7.1719,7.3125,7.1719,464000,7.1563
8/15/1980,7.3906,7.2813,7.4219,7.2813,530400,7.3125
8/18/1980,7.3125,7.375,7.375,7.2813,358400,7.3906
8/19/1980,7.2188,7.2188,7.25,7.2031,579200,7.3125
8/20/1980,7.1875,7.2188,7.2344,7.1875,486400,7.2188
8/21/1980,7.1094,7.1875,7.1875,7.0156,2728000,7.1875
8/22/1980,7.0781,7.125,7.1563,7.0469,1069600,7.1094
8/25/1980,6.9688,7.0469,7.0469,6.9531,808800,7.0781
8/26/1980,6.8594,6.9688,6.9688,6.7969,456000,6.9688
8/27/1980,6.7656,6.8281,6.8281,6.7188,1464000,6.8594
8/28/1980,6.625,6.7031,6.7656,6.625,647200,6.7656
8/29/1980,6.625,6.625,6.6875,6.5938,708000,6.625
9/2/1980,6.6094,6.6094,6.6406,6.5625,1053600,6.625
9/3/1980,6.7031,6.625,6.7031,6.625,1076000,6.6094
9/4/1980,6.7031,6.6875,6.7969,6.6719,1132000,6.7031
9/5/1980,6.6094,6.6719,6.6875,6.6094,440000,6.7031
9/8/1980,6.5781,6.625,6.625,6.5625,507200,6.6094
9/9/1980,6.6875,6.5625,6.6875,6.5156,954400,6.5781
9/10/1980,6.5938,6.6719,6.6719,6.5469,679200,6.6875
9/11/1980,6.6406,6.5938,6.6719,6.5938,479200,6.5938
9/12/1980,6.7031,6.6719,6.7344,6.6563,391200,6.6406
9/15/1980,6.7813,6.6875,6.7813,6.6563,388800,6.7031
9/16/1980,6.9063,6.7969,6.9844,6.7656,860800,6.7813
9/17/1980,7.0156,6.9688,7.0313,6.9531,479200,6.9063
9/18/1980,7.0781,7.0469,7.0938,7.0156,521600,7.0156
9/19/1980,7.2188,7.125,7.2188,7.1094,852800,7.0781
9/22/1980,7.25,7.2031,7.2813,7.1875,564800,7.2188
9/23/1980,7.1406,7.2813,7.3125,7.1406,616800,7.25
9/24/1980,7.0938,7.0938,7.2031,7.0781,828800,7.1406
9/25/1980,7.0469,7.0938,7.1094,7.0313,1563200,7.0938
9/26/1980,6.9531,6.9688,6.9688,6.8594,1299200,7.0469
9/29/1980,6.8906,6.9063,6.9063,6.8438,334400,6.9531
9/30/1980,6.9844,6.875,7,6.875,417600,6.8906
10/1/1980,7.0625,7,7.0625,6.9844,565600,6.9844
10/2/1980,7.1875,7.0469,7.1875,7.0469,684800,7.0625
10/3/1980,7.2344,7.1875,7.25,7.1563,454400,7.1875
10/6/1980,7.2969,7.2188,7.2969,7.125,345600,7.2344
10/7/1980,7.3281,7.3125,7.3594,7.25,599200,7.2969
10/8/1980,7.3906,7.2656,7.4531,7.2656,981600,7.3281
10/9/1980,7.4844,7.375,7.5313,7.2813,1123200,7.3906
10/10/1980,7.4063,7.4844,7.4844,7.4063,516000,7.4844
10/13/1980,7.4531,7.4063,7.4531,7.375,464800,7.4063
10/14/1980,7.2969,7.3438,7.4063,7.2969,436800,7.4531
10/15/1980,7.3125,7.2813,7.3438,7.2656,759200,7.2969
10/16/1980,7.2344,7.3125,7.3906,7.2344,581600,7.3125
10/17/1980,7.125,7.2188,7.2344,7.0938,765600,7.2344
10/20/1980,7.1875,7.125,7.1875,7.0781,262400,7.125
